date,crop_name,district,market_name,min_price,max_price,avg_price,unit,quantity_available,weather_condition,season
2022-01-01,Brinjal,Bogura,Bogura Main Bazar,18.39,25.79,21.95,kg,761,Cloudy,Winter
2022-01-02,Brinjal,Bogura,Bogura Main Bazar,17.68,24.98,21.3,kg,754,Sunny,Winter
2022-01-03,Brinjal,Bogura,Bogura Main Bazar,18.71,24.69,22.39,kg,757,Foggy,Winter
2022-01-04,Brinjal,Bogura,Bogura Main Bazar,18.81,24.44,21.78,kg,757,Sunny,Winter
2022-01-05,Brinjal,Bogura,Bogura Main Bazar,18.46,23.16,20.74,kg,737,Sunny,Winter
2022-01-06,Brinjal,Bogura,Bogura Main Bazar,19.66,24.75,21.98,kg,747,Cloudy,Winter
2022-01-07,Brinjal,Bogura,Bogura Main Bazar,20.88,26.81,22.79,kg,762,Sunny,Winter
2022-01-08,Brinjal,Bogura,Bogura Main Bazar,17.92,23.48,21.25,kg,727,Cloudy,Winter
2022-01-09,Brinjal,Bogura,Bogura Main Bazar,19.64,25.71,23.72,kg,752,Cloudy,Winter
2022-01-10,Brinjal,Bogura,Bogura Main Bazar,20.28,24.55,22.26,kg,760,Sunny,Winter
2022-01-11,Brinjal,Bogura,Bogura Main Bazar,22.39,27.46,24.62,kg,696,Sunny,Winter
2022-01-12,Brinjal,Bogura,Bogura Main Bazar,21.3,26.04,23.57,kg,675,Cloudy,Winter
2022-01-13,Brinjal,Bogura,Bogura Main Bazar,19.84,24.91,21.58,kg,702,Sunny,Winter
2022-01-14,Brinjal,Bogura,Bogura Main Bazar,21.53,25.98,24.01,kg,711,Sunny,Winter
2022-01-15,Brinjal,Bogura,Bogura Main Bazar,20.67,25.56,23.11,kg,706,Sunny,Winter
2022-01-16,Brinjal,Bogura,Bogura Main Bazar,19.8,25.57,23.31,kg,692,Sunny,Winter
2022-01-17,Brinjal,Bogura,Bogura Main Bazar,21.04,29.41,25.27,kg,652,Cloudy,Winter
2022-01-18,Brinjal,Bogura,Bogura Main Bazar,21.82,29.04,25.65,kg,694,Cloudy,Winter
2022-01-19,Brinjal,Bogura,Bogura Main Bazar,22.51,26.86,24.66,kg,651,Cloudy,Winter
2022-01-20,Brinjal,Bogura,Bogura Main Bazar,19.76,25.65,23.71,kg,706,Sunny,Winter
2022-01-21,Brinjal,Bogura,Bogura Main Bazar,21.52,27.41,24.52,kg,721,Sunny,Winter
2022-01-22,Brinjal,Bogura,Bogura Main Bazar,21.1,27.51,24.33,kg,669,Cloudy,Winter
2022-01-23,Brinjal,Bogura,Bogura Main Bazar,22.43,28.5,25.3,kg,626,Sunny,Winter
2022-01-24,Brinjal,Bogura,Bogura Main Bazar,21.46,30.43,26.16,kg,662,Sunny,Winter
2022-01-25,Brinjal,Bogura,Bogura Main Bazar,20.39,27.95,24.23,kg,688,Sunny,Winter
2022-01-26,Brinjal,Bogura,Bogura Main Bazar,21.87,29.03,25.84,kg,632,Sunny,Winter
2022-01-27,Brinjal,Bogura,Bogura Main Bazar,19.96,25.89,23.88,kg,672,Sunny,Winter
2022-01-28,Brinjal,Bogura,Bogura Main Bazar,20.79,26.93,24.29,kg,682,Sunny,Winter
2022-01-29,Brinjal,Bogura,Bogura Main Bazar,23.32,28.99,26.79,kg,638,Sunny,Winter
2022-01-30,Brinjal,Bogura,Bogura Main Bazar,22.04,29.16,25.85,kg,596,Cloudy,Winter
2022-01-31,Brinjal,Bogura,Bogura Main Bazar,22.07,29.79,25.98,kg,631,Sunny,Winter
2022-02-01,Brinjal,Bogura,Bogura Main Bazar,23.85,29.98,26.58,kg,473,Sunny,Winter
